Job_ID,Job_Title,Company,Location,Industry,Salary_LPA,Experience_Years,Education,Employment_Type,Work_Mode,Skills_Required,Date_Posted
JOB10001,Business Analyst,TechNova Solutions,Kolkata,FinTech,5.5,2-3,BCA/MCA,Full-time,Remote,"Communication, ETL, Excel, Google Sheets, Power Query, VLOOKUP/XLOOKUP",2026-01-09
JOB10002,Data Analyst,NextGen Systems,Pune,FinTech,7.6,3-5,Any Graduate,Contract,On-site,"Business Analysis, Data Cleaning, Excel, Google Sheets, Power BI, Power Query, SQL, Statistics, Tableau",2026-07-15
JOB10003,Junior Data Analyst,InsightWorks,Delhi NCR,IT Services,8.0,2-3,BCA/MCA,Contract,On-site,"Business Analysis, Data Cleaning, Excel, Power Query, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-06-30
JOB10004,Reporting Analyst,CloudMatrix,Bengaluru,E-commerce,8.6,3-5,B.Com/MBA,Contract,Hybrid,"Business Analysis, Excel, Google Sheets, Power BI, Python, Statistics, Tableau",2026-05-17
JOB10005,Reporting Analyst,MarketSphere,Delhi NCR,BPO,3.9,0-1,BCA/MCA,Internship,Hybrid,"Excel, Google Sheets, Power Query, Statistics, Tableau",2026-02-24
JOB10006,Operations Analyst,RetailPulse,Remote,BPO,4.8,1-2,BCA/MCA,Full-time,Remote,"Data Cleaning, ETL, Google Sheets, Power Query, Tableau, VLOOKUP/XLOOKUP",2026-05-30
JOB10007,Business Analyst,MarketSphere,Kolkata,SaaS,2.7,0-1,Statistics/Mathematics,Contract,Remote,"Communication, Data Cleaning, ETL, Excel, Google Sheets, Power Query",2026-04-08
JOB10008,Data Analyst,DataBridge India,Bengaluru,FinTech,8.4,2-3,B.Tech/M.Tech,Internship,Remote,"DAX, Excel, Google Sheets, Power BI, Power Query, SQL, Tableau",2026-05-09
JOB10009,Reporting Analyst,FinEdge Analytics,Hyderabad,Healthcare,7.7,2-3,Any Graduate,Full-time,Remote,"Business Analysis, DAX, Data Cleaning, ETL, Google Sheets, Power BI, SQL, Statistics, VLOOKUP/XLOOKUP",2026-08-01
JOB10010,Business Analyst,RetailPulse,Bengaluru,Healthcare,10.0,3-5,Statistics/Mathematics,Internship,Remote,"Business Analysis, Communication, DAX, Data Cleaning, ETL, Google Sheets, Power BI, Tableau, VLOOKUP/XLOOKUP",2026-06-05
JOB10011,Reporting Analyst,TechNova Solutions,Mumbai,Healthcare,10.2,3-5,Statistics/Mathematics,Full-time,On-site,"Business Analysis, Communication, DAX, Data Cleaning, Excel, Python, VLOOKUP/XLOOKUP",2026-03-28
JOB10012,Business Analyst,Quantify Labs,Kolkata,Healthcare,3.7,1-2,Statistics/Mathematics,Full-time,Remote,"Business Analysis, Excel, Python, Statistics, VLOOKUP/XLOOKUP",2026-03-13
JOB10013,Data Associate,Quantify Labs,Pune,IT Services,9.2,3-5,Any Graduate,Full-time,Hybrid,"Business Analysis, Communication, ETL, Excel, Power Query, Statistics",2026-04-16
JOB10014,Junior Data Analyst,BrightOps,Bengaluru,FinTech,5.5,1-2,Any Graduate,Internship,Remote,"Business Analysis, DAX, Excel, Google Sheets, Power BI, Power Query, Python, SQL, Tableau",2026-07-26
JOB10015,Data Analyst,Quantify Labs,Bengaluru,Consulting,5.4,1-2,B.Com/MBA,Internship,Remote,"Communication, DAX, ETL, Excel, Google Sheets, Power Query, Python, SQL",2026-07-20
JOB10016,Data Associate,TechNova Solutions,Hyderabad,SaaS,5.1,1-2,Statistics/Mathematics,Internship,On-site,"Data Cleaning, ETL, SQL, Statistics, VLOOKUP/XLOOKUP",2026-01-15
JOB10017,Data Analyst,MarketSphere,Bengaluru,IT Services,5.2,1-2,Statistics/Mathematics,Full-time,Hybrid,"Communication, Data Cleaning, Excel, Power Query, SQL",2026-05-29
JOB10018,Junior Data Analyst,Quantify Labs,Mumbai,FinTech,6.5,1-2,Any Graduate,Internship,On-site,"DAX, Excel, Google Sheets, Power BI, Power Query, SQL, Tableau",2026-01-03
JOB10019,BI Analyst,TechNova Solutions,Hyderabad,Consulting,8.0,2-3,Any Graduate,Full-time,Hybrid,"DAX, Excel, Power BI, SQL, Statistics, Tableau",2026-05-16
JOB10020,Business Analyst,RetailPulse,Bengaluru,Consulting,5.7,1-2,Any Graduate,Full-time,Hybrid,"Business Analysis, DAX, ETL, Power BI, Python, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-01-24
JOB10021,MIS Executive,NextGen Systems,Mumbai,E-commerce,6.7,1-2,B.Com/MBA,Full-time,On-site,"Communication, Data Cleaning, ETL, Excel, Power BI, Power Query, SQL, Tableau, VLOOKUP/XLOOKUP",2026-08-02
JOB10022,BI Analyst,DataBridge India,Delhi NCR,Healthcare,5.7,0-1,BCA/MCA,Full-time,Hybrid,"Business Analysis, Communication, Excel, Python, SQL, VLOOKUP/XLOOKUP",2026-07-11
JOB10023,Data Analyst,Quantify Labs,Hyderabad,Healthcare,7.7,2-3,BCA/MCA,Contract,Hybrid,"Business Analysis, Communication, ETL, Excel, Power BI, Python, SQL, Tableau",2026-08-08
JOB10024,BI Analyst,RetailPulse,Pune,BPO,4.3,1-2,Any Graduate,Full-time,Hybrid,"ETL, Excel, Power Query, SQL, Statistics, Tableau",2026-05-11
JOB10025,MIS Executive,CloudMatrix,Mumbai,Consulting,3.8,0-1,Any Graduate,Internship,Hybrid,"Business Analysis, Data Cleaning, ETL, Excel, Power Query, Python, Statistics, VLOOKUP/XLOOKUP",2026-05-28
JOB10026,Data Analyst,NextGen Systems,Pune,Retail,6.7,2-3,B.Tech/M.Tech,Internship,On-site,"Business Analysis, Communication, Data Cleaning, Excel, SQL, Statistics, Tableau",2026-04-15
JOB10027,Reporting Analyst,FinEdge Analytics,Chennai,Healthcare,8.6,3-5,B.Com/MBA,Internship,Remote,"Business Analysis, Data Cleaning, Power Query, SQL, Tableau, VLOOKUP/XLOOKUP",2026-03-19
JOB10028,Junior Data Analyst,MarketSphere,Remote,BPO,8.1,3-5,Any Graduate,Full-time,Remote,"DAX, ETL, Excel, Power BI, SQL, VLOOKUP/XLOOKUP",2026-06-12
JOB10029,Reporting Analyst,RetailPulse,Pune,SaaS,4.3,1-2,B.Com/MBA,Full-time,On-site,"Business Analysis, DAX, Data Cleaning, Excel, Power Query, Python",2026-07-03
JOB10030,Data Analyst,BrightOps,Bengaluru,BPO,8.4,3-5,B.Com/MBA,Internship,Remote,"Business Analysis, Communication, DAX, Excel, Power BI, Power Query, Python, SQL, VLOOKUP/XLOOKUP",2026-06-20
JOB10031,Operations Analyst,FinEdge Analytics,Remote,SaaS,6.1,1-2,Any Graduate,Internship,Remote,"Business Analysis, Communication, DAX, Google Sheets, Python, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-03-03
JOB10032,Reporting Analyst,NextGen Systems,Mumbai,SaaS,6.9,2-3,B.Com/MBA,Full-time,On-site,"Communication, DAX, ETL, Excel, Google Sheets, Power BI, Power Query, Python, SQL",2026-04-15
JOB10033,Operations Analyst,BrightOps,Chennai,Healthcare,5.1,0-1,B.Com/MBA,Full-time,Hybrid,"Business Analysis, Communication, DAX, Data Cleaning, Power Query, SQL, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-07-08
JOB10034,Operations Analyst,MarketSphere,Remote,IT Services,3.9,0-1,Any Graduate,Internship,Remote,"DAX, Data Cleaning, ETL, Google Sheets, Power BI, Python, SQL, VLOOKUP/XLOOKUP",2026-06-01
JOB10035,MIS Executive,RetailPulse,Remote,Consulting,4.2,1-2,Any Graduate,Contract,Remote,"Business Analysis, Communication, DAX, Power Query, Python, Statistics, Tableau, VLOOKUP/XLOOKUP",2026-08-01
JOB10036,Data Analyst,CloudMatrix,Delhi NCR,E-commerce,6.3,1-2,B.Com/MBA,Internship,On-site,"ETL, Excel, Google Sheets, Python, SQL",2026-02-09
JOB10037,Reporting Analyst,MarketSphere,Remote,IT Services,7.5,2-3,B.Tech/M.Tech,Internship,Remote,"Business Analysis, Data Cleaning, ETL, Excel, Power BI, Tableau",2026-01-28
